wage_from,wage_to,employer,employee
3500.01,3520.00,141.00,0.00
3520.01,3540.00,142.00,0.00
3540.01,3560.00,143.00,0.00
3560.01,3580.00,144.00,0.00
3580.01,3600.00,144.00,0.00
3600.01,3620.00,145.00,0.00
3620.01,3640.00,146.00,0.00
3640.01,3660.00,147.00,0.00
3660.01,3680.00,148.00,0.00
3680.01,3700.00,148.00,0.00
3700.01,3720.00,149.00,0.00
3720.01,3740.00,150.00,0.00
3740.01,3760.00,151.00,0.00
3760.01,3780.00,152.00,0.00
3780.01,3800.00,152.00,0.00
3800.01,3820.00,153.00,0.00
3820.01,3840.00,154.00,0.00
3840.01,3860.00,155.00,0.00
3860.01,3880.00,156.00,0.00
3880.01,3900.00,156.00,0.00
3900.01,3920.00,157.00,0.00
3920.01,3940.00,158.00,0.00
3940.01,3960.00,159.00,0.00
3960.01,3980.00,160.00,0.00
3980.01,4000.00,160.00,0.00
4000.01,4020.00,161.00,0.00
4020.01,4040.00,162.00,0.00
4040.01,4060.00,163.00,0.00
4060.01,4080.00,164.00,0.00
4080.01,4100.00,164.00,0.00
4100.01,4120.00,165.00,0.00
4120.01,4140.00,166.00,0.00
4140.01,4160.00,167.00,0.00
4160.01,4180.00,168.00,0.00
4180.01,4200.00,168.00,0.00
4200.01,4220.00,169.00,0.00
4220.01,4240.00,170.00,0.00
4240.01,4260.00,171.00,0.00
4260.01,4280.00,172.00,0.00
4280.01,4300.00,172.00,0.00
4300.01,4320.00,173.00,0.00
4320.01,4340.00,174.00,0.00
4340.01,4360.00,175.00,0.00
4360.01,4380.00,176.00,0.00
4380.01,4400.00,176.00,0.00
4400.01,4420.00,177.00,0.00
4420.01,4440.00,178.00,0.00
4440.01,4460.00,179.00,0.00
4460.01,4480.00,180.00,0.00
4480.01,4500.00,180.00,0.00
4500.01,4520.00,181.00,0.00
4520.01,4540.00,182.00,0.00
4540.01,4560.00,183.00,0.00
4560.01,4580.00,184.00,0.00
4580.01,4600.00,184.00,0.00
4600.01,4620.00,185.00,0.00
4620.01,4640.00,186.00,0.00
4640.01,4660.00,187.00,0.00
4660.01,4680.00,188.00,0.00
4680.01,4700.00,188.00,0.00
4700.01,4720.00,189.00,0.00
4720.01,4740.00,190.00,0.00
4740.01,4760.00,191.00,0.00
4760.01,4780.00,192.00,0.00
4780.01,4800.00,192.00,0.00
4800.01,4820.00,193.00,0.00
4820.01,4840.00,194.00,0.00
4840.01,4860.00,195.00,0.00
4860.01,4880.00,196.00,0.00
4880.01,4900.00,196.00,0.00
4900.01,4920.00,197.00,0.00
4920.01,4940.00,198.00,0.00
4940.01,4960.00,199.00,0.00
4960.01,4980.00,200.00,0.00
4980.01,5000.00,200.00,0.00
5000.01,5100.00,204.00,0.00
5100.01,5200.00,208.00,0.00
5200.01,5300.00,212.00,0.00
5300.01,5400.00,216.00,0.00
5400.01,5500.00,220.00,0.00
5500.01,5600.00,224.00,0.00
5600.01,5700.00,228.00,0.00
5700.01,5800.00,232.00,0.00
5800.01,5900.00,236.00,0.00
5900.01,6000.00,240.00,0.00
6000.01,6100.00,244.00,0.00
6100.01,6200.00,248.00,0.00
6200.01,6300.00,252.00,0.00
6300.01,6400.00,256.00,0.00
6400.01,6500.00,260.00,0.00
6500.01,6600.00,264.00,0.00
6600.01,6700.00,268.00,0.00
6700.01,6800.00,272.00,0.00
6800.01,6900.00,276.00,0.00
6900.01,7000.00,280.00,0.00
7000.01,7100.00,284.00,0.00
7100.01,7200.00,288.00,0.00
7200.01,7300.00,292.00,0.00
7300.01,7400.00,296.00,0.00
7400.01,7500.00,300.00,0.00
7500.01,7600.00,304.00,0.00
7600.01,7700.00,308.00,0.00
7700.01,7800.00,312.00,0.00
7800.01,7900.00,316.00,0.00
7900.01,8000.00,320.00,0.00
8000.01,8100.00,324.00,0.00
8100.01,8200.00,328.00,0.00
8200.01,8300.00,332.00,0.00
8300.01,8400.00,336.00,0.00
8400.01,8500.00,340.00,0.00
8500.01,8600.00,344.00,0.00
8600.01,8700.00,348.00,0.00
8700.01,8800.00,352.00,0.00
8800.01,8900.00,356.00,0.00
8900.01,9000.00,360.00,0.00
9000.01,9100.00,364.00,0.00
9100.01,9200.00,368.00,0.00
9200.01,9300.00,372.00,0.00
9300.01,9400.00,376.00,0.00
9400.01,9500.00,380.00,0.00
9500.01,9600.00,384.00,0.00
9600.01,9700.00,388.00,0.00
9700.01,9800.00,392.00,0.00
9800.01,9900.00,396.00,0.00
9900.01,10000.00,400.00,0.00
10000.01,10100.00,404.00,0.00
10100.01,10200.00,408.00,0.00
10200.01,10300.00,412.00,0.00
10300.01,10400.00,416.00,0.00
10400.01,10500.00,420.00,0.00
10500.01,10600.00,424.00,0.00
10600.01,10700.00,428.00,0.00
10700.01,10800.00,432.00,0.00
10800.01,10900.00,436.00,0.00
10900.01,11000.00,440.00,0.00
11000.01,11100.00,444.00,0.00
11100.01,11200.00,448.00,0.00
11200.01,11300.00,452.00,0.00
11300.01,11400.00,456.00,0.00
11400.01,11500.00,460.00,0.00
11500.01,11600.00,464.00,0.00
11600.01,11700.00,468.00,0.00
11700.01,11800.00,472.00,0.00
11800.01,11900.00,476.00,0.00
11900.01,12000.00,480.00,0.00
12000.01,12100.00,484.00,0.00
12100.01,12200.00,488.00,0.00
12200.01,12300.00,492.00,0.00
12300.01,12400.00,496.00,0.00
12400.01,12500.00,500.00,0.00
12500.01,12600.00,504.00,0.00
12600.01,12700.00,508.00,0.00
12700.01,12800.00,512.00,0.00
12800.01,12900.00,516.00,0.00
12900.01,13000.00,520.00,0.00
13000.01,13100.00,524.00,0.00
13100.01,13200.00,528.00,0.00
13200.01,13300.00,532.00,0.00
13300.01,13400.00,536.00,0.00
13400.01,13500.00,540.00,0.00
13500.01,13600.00,544.00,0.00
13600.01,13700.00,548.00,0.00
13700.01,13800.00,552.00,0.00
13800.01,13900.00,556.00,0.00
13900.01,14000.00,560.00,0.00
14000.01,14100.00,564.00,0.00
14100.01,14200.00,568.00,0.00
14200.01,14300.00,572.00,0.00
14300.01,14400.00,576.00,0.00
14400.01,14500.00,580.00,0.00
14500.01,14600.00,584.00,0.00
14600.01,14700.00,588.00,0.00
14700.01,14800.00,592.00,0.00
14800.01,14900.00,596.00,0.00
14900.01,15000.00,600.00,0.00
15000.01,15100.00,604.00,0.00
15100.01,15200.00,608.00,0.00
15200.01,15300.00,612.00,0.00
15300.01,15400.00,616.00,0.00
15400.01,15500.00,620.00,0.00
15500.01,15600.00,624.00,0.00
15600.01,15700.00,628.00,0.00
15700.01,15800.00,632.00,0.00
15800.01,15900.00,636.00,0.00
15900.01,16000.00,640.00,0.00
16000.01,16100.00,644.00,0.00
16100.01,16200.00,648.00,0.00
16200.01,16300.00,652.00,0.00
16300.01,16400.00,656.00,0.00
16400.01,16500.00,660.00,0.00
16500.01,16600.00,664.00,0.00
16600.01,16700.00,668.00,0.00
16700.01,16800.00,672.00,0.00
16800.01,16900.00,676.00,0.00
16900.01,17000.00,680.00,0.00
17000.01,17100.00,684.00,0.00
17100.01,17200.00,688.00,0.00
17200.01,17300.00,692.00,0.00
17300.01,17400.00,696.00,0.00
17400.01,17500.00,700.00,0.00
17500.01,17600.00,704.00,0.00
17600.01,17700.00,708.00,0.00
17700.01,17800.00,712.00,0.00
17800.01,17900.00,716.00,0.00
17900.01,18000.00,720.00,0.00
18000.01,18100.00,724.00,0.00
18100.01,18200.00,728.00,0.00
18200.01,18300.00,732.00,0.00
18300.01,18400.00,736.00,0.00
18400.01,18500.00,740.00,0.00
18500.01,18600.00,744.00,0.00
18600.01,18700.00,748.00,0.00
18700.01,18800.00,752.00,0.00
18800.01,18900.00,756.00,0.00
18900.01,19000.00,760.00,0.00
19000.01,19100.00,764.00,0.00
19100.01,19200.00,768.00,0.00
19200.01,19300.00,772.00,0.00
19300.01,19400.00,776.00,0.00
19400.01,19500.00,780.00,0.00
19500.01,19600.00,784.00,0.00
19600.01,19700.00,788.00,0.00
19700.01,19800.00,792.00,0.00
19800.01,19900.00,796.00,0.00
19900.01,20000.00,800.00,0.00
